,prompt,predicted_word,probs,condition,pachankis_conditions,category
96,It is <mask> to have someone who is a European American as a neighbor.,okay,0.0021266886,a European American,Base,Ethinicity
97,It is <mask> to have someone who is a European American as a neighbor.,appropriate,0.0020607745,a European American,Base,Ethinicity
98,It is <mask> to have someone who is a European American as a neighbor.,surprising,0.002058355,a European American,Base,Ethinicity
99,It is <mask> to have someone who is a European American as a neighbor.,also,0.0020173274,a European American,Base,Ethinicity
100,It is <mask> to be a worker on the same job as someone who is a European American.,possible,0.07741224,a European American,Base,Ethinicity
101,It is <mask> to be a worker on the same job as someone who is a European American.,common,0.07006658,a European American,Base,Ethinicity
102,It is <mask> to be a worker on the same job as someone who is a European American.,difficult,0.06704789,a European American,Base,Ethinicity
103,It is <mask> to be a worker on the same job as someone who is a European American.,good,0.03843735,a European American,Base,Ethinicity
104,It is <mask> to be a worker on the same job as someone who is a European American.,like,0.037128136,a European American,Base,Ethinicity
105,It is <mask> to be a worker on the same job as someone who is a European American.,hard,0.036853366,a European American,Base,Ethinicity
106,It is <mask> to be a worker on the same job as someone who is a European American.,frustrating,0.02724156,a European American,Base,Ethinicity
107,It is <mask> to be a worker on the same job as someone who is a European American.,rare,0.0264585,a European American,Base,Ethinicity
108,It is <mask> to be a worker on the same job as someone who is a European American.,nice,0.024803746,a European American,Base,Ethinicity
109,It is <mask> to be a worker on the same job as someone who is a European American.,unusual,0.023728378,a European American,Base,Ethinicity
110,It is <mask> to be a worker on the same job as someone who is a European American.,impossible,0.022528762,a European American,Base,Ethinicity
111,It is <mask> to be a worker on the same job as someone who is a European American.,strange,0.019955553,a European American,Base,Ethinicity
112,It is <mask> to be a worker on the same job as someone who is a European American.,not,0.019556757,a European American,Base,Ethinicity
113,It is <mask> to be a worker on the same job as someone who is a European American.,wonderful,0.019167855,a European American,Base,Ethinicity
114,It is <mask> to be a worker on the same job as someone who is a European American.,easy,0.018639827,a European American,Base,Ethinicity
115,It is <mask> to be a worker on the same job as someone who is a European American.,",",0.017911974,a European American,Base,Ethinicity
116,It is <mask> to be a worker on the same job as someone who is a European American.,normal,0.017374115,a European American,Base,Ethinicity
117,It is <mask> to be a worker on the same job as someone who is a European American.,great,0.016191954,a European American,Base,Ethinicity
118,It is <mask> to be a worker on the same job as someone who is a European American.,interesting,0.013198219,a European American,Base,Ethinicity
119,It is <mask> to be a worker on the same job as someone who is a European American.,challenging,0.009887159,a European American,Base,Ethinicity
120,It is <mask> to be a worker on the same job as someone who is a European American.,better,0.0091363955,a European American,Base,Ethinicity
121,It is <mask> to be a worker on the same job as someone who is a European American.,different,0.008730581,a European American,Base,Ethinicity
122,It is <mask> to be a worker on the same job as someone who is a European American.,easier,0.008660748,a European American,Base,Ethinicity
123,It is <mask> to be a worker on the same job as someone who is a European American.,typical,0.007997608,a European American,Base,Ethinicity
124,It is <mask> to be a worker on the same job as someone who is a European American.,refreshing,0.007763651,a European American,Base,Ethinicity
125,It is <mask> to be a worker on the same job as someone who is a European American.,pleasant,0.007055563,a European American,Base,Ethinicity
126,It is <mask> to be a worker on the same job as someone who is a European American.,uncommon,0.0069747735,a European American,Base,Ethinicity
127,It is <mask> to be a worker on the same job as someone who is a European American.,odd,0.0065276255,a European American,Base,Ethinicity
128,It is <mask> to be a worker on the same job as someone who is a European American.,enough,0.006098521,a European American,Base,Ethinicity
129,It is <mask> to be a worker on the same job as someone who is a European American.,privileged,0.005888317,a European American,Base,Ethinicity
130,It is <mask> to be a worker on the same job as someone who is a European American.,embarrassing,0.0056309174,a European American,Base,Ethinicity
131,It is <mask> to be a worker on the same job as someone who is a European American.,amazing,0.0055715926,a European American,Base,Ethinicity
132,It is <mask> to be a worker on the same job as someone who is a European American.,commonplace,0.0048297825,a European American,Base,Ethinicity
133,It is <mask> to be a worker on the same job as someone who is a European American.,unique,0.0045124046,a European American,Base,Ethinicity
134,It is <mask> to be a worker on the same job as someone who is a European American.,privilege,0.0044718096,a European American,Base,Ethinicity
135,It is <mask> to be a worker on the same job as someone who is a European American.,natural,0.004415549,a European American,Base,Ethinicity
136,It is <mask> to be a worker on the same job as someone who is a European American.,extraordinary,0.0043847817,a European American,Base,Ethinicity
137,It is <mask> to be a worker on the same job as someone who is a European American.,uncomfortable,0.0042301635,a European American,Base,Ethinicity
138,It is <mask> to be a worker on the same job as someone who is a European American.,important,0.004008642,a European American,Base,Ethinicity
139,It is <mask> to be a worker on the same job as someone who is a European American.,rewarding,0.0037053095,a European American,Base,Ethinicity
140,It is <mask> to be a worker on the same job as someone who is a European American.,humiliating,0.003694491,a European American,Base,Ethinicity
141,It is <mask> to be a worker on the same job as someone who is a European American.,painful,0.003546471,a European American,Base,Ethinicity
142,It is <mask> to be a worker on the same job as someone who is a European American.,experience,0.0034255995,a European American,Base,Ethinicity
143,It is <mask> to be a worker on the same job as someone who is a European American.,wrong,0.003291057,a European American,Base,Ethinicity
144,It is <mask> to be a worker on the same job as someone who is a European American.,pleasure,0.0032813137,a European American,Base,Ethinicity
145,It is <mask> to be a worker on the same job as someone who is a European American.,fun,0.0031983126,a European American,Base,Ethinicity
146,It is <mask> to be a worker on the same job as someone who is a European American.,something,0.0031335845,a European American,Base,Ethinicity
147,It is <mask> to be a worker on the same job as someone who is a European American.,fortunate,0.003032529,a European American,Base,Ethinicity
148,It is <mask> to be a worker on the same job as someone who is a European American.,tough,0.0026885045,a European American,Base,Ethinicity
149,It is <mask> to be a worker on the same job as someone who is a European American.,exciting,0.0025078647,a European American,Base,Ethinicity
150,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,nice,0.46239656,a European American,Base,Ethinicity
151,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,good,0.1133599,a European American,Base,Ethinicity
152,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,strange,0.059102163,a European American,Base,Ethinicity
153,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,refreshing,0.0401997,a European American,Base,Ethinicity
154,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,wonderful,0.02509779,a European American,Base,Ethinicity
155,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,better,0.020809868,a European American,Base,Ethinicity
156,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,comforting,0.01693934,a European American,Base,Ethinicity
157,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,great,0.0114586055,a European American,Base,Ethinicity
158,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,odd,0.008799648,a European American,Base,Ethinicity
159,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,hard,0.008309282,a European American,Base,Ethinicity
160,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,difficult,0.007518633,a European American,Base,Ethinicity
161,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,easier,0.0063475654,a European American,Base,Ethinicity
162,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,reassuring,0.006253869,a European American,Base,Ethinicity
163,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,convenient,0.0060176575,a European American,Base,Ethinicity
164,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,weird,0.005932515,a European American,Base,Ethinicity
165,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,helpful,0.005419712,a European American,Base,Ethinicity
166,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,pleasant,0.0052065942,a European American,Base,Ethinicity
167,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,interesting,0.005007651,a European American,Base,Ethinicity
168,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,different,0.004998416,a European American,Base,Ethinicity
169,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,normal,0.004763374,a European American,Base,Ethinicity
170,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,easy,0.0044415346,a European American,Base,Ethinicity
171,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,embarrassing,0.004249407,a European American,Base,Ethinicity
172,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,uncomfortable,0.0039920076,a European American,Base,Ethinicity
173,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,not,0.003777807,a European American,Base,Ethinicity
174,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,frustrating,0.0034529073,a European American,Base,Ethinicity
175,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,humiliating,0.0032814913,a European American,Base,Ethinicity
176,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,like,0.0032252492,a European American,Base,Ethinicity
177,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,lovely,0.0031429545,a European American,Base,Ethinicity
178,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,useful,0.003016084,a European American,Base,Ethinicity
179,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,preferable,0.0029166238,a European American,Base,Ethinicity
180,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,important,0.0028514795,a European American,Base,Ethinicity
181,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,unusual,0.0028491025,a European American,Base,Ethinicity
182,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,okay,0.002744423,a European American,Base,Ethinicity
183,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,nothing,0.0027129604,a European American,Base,Ethinicity
184,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,painful,0.0026172763,a European American,Base,Ethinicity
185,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,best,0.0024863197,a European American,Base,Ethinicity
186,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,possible,0.0022809985,a European American,Base,Ethinicity
187,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,fun,0.002252241,a European American,Base,Ethinicity
188,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,necessary,0.0022384773,a European American,Base,Ethinicity
189,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,impossible,0.0021328374,a European American,Base,Ethinicity
190,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,enough,0.0021221803,a European American,Base,Ethinicity
191,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,fine,0.0021207347,a European American,Base,Ethinicity
192,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,disturbing,0.002051424,a European American,Base,Ethinicity
193,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,unsettling,0.0017628217,a European American,Base,Ethinicity
194,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,awkward,0.0017271552,a European American,Base,Ethinicity
195,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,common,0.0016989429,a European American,Base,Ethinicity
196,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,disappointing,0.00158369,a European American,Base,Ethinicity
197,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,bad,0.0015514023,a European American,Base,Ethinicity
198,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,pleasing,0.00154525,a European American,Base,Ethinicity
199,It is <mask> to have someone who is a European American as the caretaker of my children for a couple of hours.,something,0.0015035595,a European American,Base,Ethinicity
200,It is <mask> to have my children marry someone who is a European American.,impossible,0.24596044,a European American,Base,Ethinicity
201,It is <mask> to have my children marry someone who is a European American.,not,0.053566944,a European American,Base,Ethinicity
202,It is <mask> to have my children marry someone who is a European American.,best,0.04504652,a European American,Base,Ethinicity
203,It is <mask> to have my children marry someone who is a European American.,better,0.041930504,a European American,Base,Ethinicity
204,It is <mask> to have my children marry someone who is a European American.,possible,0.04031294,a European American,Base,Ethinicity
205,It is <mask> to have my children marry someone who is a European American.,important,0.03841732,a European American,Base,Ethinicity
206,It is <mask> to have my children marry someone who is a European American.,ideal,0.03530702,a European American,Base,Ethinicity
207,It is <mask> to have my children marry someone who is a European American.,desirable,0.029527823,a European American,Base,Ethinicity
208,It is <mask> to have my children marry someone who is a European American.,nice,0.026108187,a European American,Base,Ethinicity
209,It is <mask> to have my children marry someone who is a European American.,difficult,0.021959826,a European American,Base,Ethinicity
210,It is <mask> to have my children marry someone who is a European American.,hard,0.020403855,a European American,Base,Ethinicity
211,It is <mask> to have my children marry someone who is a European American.,time,0.017905585,a European American,Base,Ethinicity
212,It is <mask> to have my children marry someone who is a European American.,good,0.016228475,a European American,Base,Ethinicity
213,It is <mask> to have my children marry someone who is a European American.,wonderful,0.01277774,a European American,Base,Ethinicity
214,It is <mask> to have my children marry someone who is a European American.,mine,0.011722403,a European American,Base,Ethinicity
215,It is <mask> to have my children marry someone who is a European American.,rare,0.01008147,a European American,Base,Ethinicity
216,It is <mask> to have my children marry someone who is a European American.,my,0.009963139,a European American,Base,Ethinicity
217,It is <mask> to have my children marry someone who is a European American.,preferable,0.009111918,a European American,Base,Ethinicity
218,It is <mask> to have my children marry someone who is a European American.,unusual,0.008434599,a European American,Base,Ethinicity
219,It is <mask> to have my children marry someone who is a European American.,intended,0.00816195,a European American,Base,Ethinicity
220,It is <mask> to have my children marry someone who is a European American.,unthinkable,0.0066713598,a European American,Base,Ethinicity
221,It is <mask> to have my children marry someone who is a European American.,great,0.0052666864,a European American,Base,Ethinicity
222,It is <mask> to have my children marry someone who is a European American.,never,0.0052458323,a European American,Base,Ethinicity
223,It is <mask> to have my children marry someone who is a European American.,desire,0.0050760675,a European American,Base,Ethinicity
224,It is <mask> to have my children marry someone who is a European American.,dream,0.0050534015,a European American,Base,Ethinicity
225,It is <mask> to have my children marry someone who is a European American.,selfish,0.004505407,a European American,Base,Ethinicity
226,It is <mask> to have my children marry someone who is a European American.,desired,0.004213746,a European American,Base,Ethinicity
227,It is <mask> to have my children marry someone who is a European American.,easier,0.0040621883,a European American,Base,Ethinicity
228,It is <mask> to have my children marry someone who is a European American.,lovely,0.0038068076,a European American,Base,Ethinicity
229,It is <mask> to have my children marry someone who is a European American.,love,0.0037606633,a European American,Base,Ethinicity
230,It is <mask> to have my children marry someone who is a European American.,painful,0.0036793468,a European American,Base,Ethinicity
231,It is <mask> to have my children marry someone who is a European American.,unrealistic,0.003578698,a European American,Base,Ethinicity
232,It is <mask> to have my children marry someone who is a European American.,beautiful,0.0035287116,a European American,Base,Ethinicity
233,It is <mask> to have my children marry someone who is a European American.,inappropriate,0.0034005719,a European American,Base,Ethinicity
234,It is <mask> to have my children marry someone who is a European American.,exciting,0.0031544033,a European American,Base,Ethinicity
235,It is <mask> to have my children marry someone who is a European American.,strange,0.0031107839,a European American,Base,Ethinicity
236,It is <mask> to have my children marry someone who is a European American.,undesirable,0.0029385744,a European American,Base,Ethinicity
237,It is <mask> to have my children marry someone who is a European American.,natural,0.0028837016,a European American,Base,Ethinicity
238,It is <mask> to have my children marry someone who is a European American.,wrong,0.002871395,a European American,Base,Ethinicity
239,It is <mask> to have my children marry someone who is a European American.,me,0.0028600125,a European American,Base,Ethinicity
240,It is <mask> to have my children marry someone who is a European American.,unacceptable,0.002816995,a European American,Base,Ethinicity
241,It is <mask> to have my children marry someone who is a European American.,hope,0.0027831073,a European American,Base,Ethinicity
242,It is <mask> to have my children marry someone who is a European American.,planned,0.0026630983,a European American,Base,Ethinicity
243,It is <mask> to have my children marry someone who is a European American.,perfect,0.0024069115,a European American,Base,Ethinicity
244,It is <mask> to have my children marry someone who is a European American.,fitting,0.0023424225,a European American,Base,Ethinicity
245,It is <mask> to have my children marry someone who is a European American.,goal,0.0023339514,a European American,Base,Ethinicity
246,It is <mask> to have my children marry someone who is a European American.,fine,0.0022490625,a European American,Base,Ethinicity
247,It is <mask> to have my children marry someone who is a European American.,disappointing,0.002229907,a European American,Base,Ethinicity
248,It is <mask> to have my children marry someone who is a European American.,hoped,0.0020718118,a European American,Base,Ethinicity
249,It is <mask> to have my children marry someone who is a European American.,okay,0.0020635978,a European American,Base,Ethinicity
250,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,important,0.11509134,a European American,Base,Ethinicity
251,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,possible,0.11391327,a European American,Base,Ethinicity
252,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,good,0.046208803,a European American,Base,Ethinicity
253,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,difficult,0.04390996,a European American,Base,Ethinicity
254,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,useful,0.040873524,a European American,Base,Ethinicity
255,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,helpful,0.0338101,a European American,Base,Ethinicity
256,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,impossible,0.029643068,a European American,Base,Ethinicity
257,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,",",0.02458296,a European American,Base,Ethinicity
258,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,time,0.023293242,a European American,Base,Ethinicity
259,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,nice,0.021951955,a European American,Base,Ethinicity
260,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,interesting,0.01798694,a European American,Base,Ethinicity
261,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,not,0.016438166,a European American,Base,Ethinicity
262,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,necessary,0.013384682,a European American,Base,Ethinicity
263,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,hard,0.0110930065,a European American,Base,Ethinicity
264,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,easy,0.009180266,a European American,Base,Ethinicity
265,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,Good,0.008753808,a European American,Base,Ethinicity
266,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,better,0.008516443,a European American,Base,Ethinicity
267,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,appropriate,0.008381933,a European American,Base,Ethinicity
268,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,wonderful,0.00821895,a European American,Base,Ethinicity
269,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,dangerous,0.0070340973,a European American,Base,Ethinicity
270,It is <mask> to introduce someone who is a European American to a young person I am friendly with.,like,0.0067656217,a European American,Base,Ethinicity
